id,cid,collection_name,path,hash,size,lastModifiedNano,attachmentId,directoryId,filename,rootCid,pieceCid
64,bafkreift3zucmc5c5bs6gnvjnr7oek44fd3c226y6oraigtg7ycy34gobi,cbp,temp,,842895,1709249169115799700,1,5,cpb_waterquality_2006_11.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
65,bafkreie5syflpx3qrbwajxqz3dxrzi3bwph5bvitt2p3fo7frrq3d3wyym,cbp,temp,,698823,1709249170568861000,1,5,cpb_waterquality_2006_12.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
67,bafkreidic7icyrjyuejjntnic6lktg24xifgok6cws37lkwwysygfcnvge,cbp,temp,,592291,1709249173543915600,1,5,cpb_waterquality_2007_02.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
68,bafkreicr2k7ns5chrioxznwlfzz7yyxny4hxghg34pajq4hrik25xe2kni,cbp,temp,,913247,1709249175103325300,1,5,cpb_waterquality_2007_03.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
69,bafybeieyt3ugl45pp3ishpw6ilrmvrphreo776vuivjnkyhqkkol4efzoy,cbp,temp,,1972266,1709249177218203100,1,5,cpb_waterquality_2007_04.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
71,bafybeic6yn7eafo4erdgvm4zqxuhwwmcfwwpiidw4ihskbc5lwkkblt33u,cbp,temp,,2073531,1709249181573074400,1,5,cpb_waterquality_2007_06.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
72,bafybeiebjauprjqlychzkpyvehiclyxdmceneafbedtcsm5orumt7qfp4i,cbp,temp,,2168944,1709249183860627300,1,5,cpb_waterquality_2007_07.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
73,bafybeidswmrr5kl556t2ot3mmqmtqqj5dfqllkxuupgoqxq6fzk7k7lauu,cbp,temp,,2207805,1709249186107113300,1,5,cpb_waterquality_2007_08.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
76,bafkreiec7y25hbsan47xtmmr6qwpewusar47xnpr5j6xwvawps553cloxu,cbp,temp,,837960,1709249191748379400,1,5,cpb_waterquality_2007_11.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
78,bafkreia7xjtbmzor2igi6j2i2zaimsakkiilpiswmdi4qdjstklbggdvpe,cbp,temp,,759427,1709249194831049600,1,5,cpb_waterquality_2008_01.csv,bafkreiaocszgtazck5mluxlytk3fd6mprql73svicmjb2xnzd5j34yqwpe,baga6ea4seaqdr2ylrl436sdktcydshelm5spxycf7lymzxkakcyaq75a66p7yea
